SetDirection,SwellHeight,SwellDirection,WindForce,WindDirection,ComputedDraftMid,CurrentGpsShipSpeed,TotalPropulsionPower
315,0.3,315,3,315,8.23,14.7,8745
135,2.5,0,3,0,7.35,12.8,5562
135,1,135,4,135,7.7,13,5276
225,0.6,135,2,135,7.295,15,6714
225,0.1,315,2,315,6.9,13.7,5762
0,2.5,0,5,0,8.425,14.6,5611
0,0.4,315,3,135,6.9,13.1,5022
180,1.2,180,4,180,6.085,13.6,6013
180,3.5,180,8,180,5.875,15.7,8186
90,0.6,225,4,225,8.295,12.5,6471
135,1.2,135,5,135,8.055,18.9,9800
0,1.5,0,5,0,9.195,14.4,8513
0,2.5,0,4,0,7.925,16.6,7127
0,0.8,45,2,45,7.4,13.7,5847
157.5,2.5,225,6,225,7.45,12.3,5428
225,1.5,225,5,225,8.575,11.1,5529
45,4,135,8,180,7.65,12.2,5600
315,0.8,315,2,315,7.9,13.1,4846
112.5,4,292.5,8,315,6.2,16.2,7196
0,0,0,1,135,7.65,13,4126
0,2.5,0,6,0,8.85,16.4,9043
90,6,0,4,0,8.24,14.5,5970
0,1.2,180,3,180,7.37,13,5056
315,1.2,225,3,225,8.03,13.7,6952
180,0.5,180,3,180,6.625,17.5,8072
22.5,1.5,202.5,5,202.5,7.45,12.5,4486
180,0.1,225,2,225,6.65,13.7,4478
0,1.1,180,3,180,8.275,17,8669
157.5,1.5,0,5,0,6.45,16.3,7309
315,0.1,90,2,90,7.38,11.6,5688
270,2.5,135,6,180,6.7,11.2,4460
90,0,0,1,0,8.295,13,4861
67.5,0.5,180,4,180,7.115,13.5,5799
180,1.2,135,4,135,6.87,16.1,9022
135,0.3,135,3,135,6.29,13.4,4827
0,1,135,3,135,8.05,17,8415
225,1.5,45,5,45,8.5,11.2,4325
0,4,135,7,135,8.6,4.2,2263
315,1.2,45,3,0,7.75,14.2,6826
315,0.1,180,2,225,6.85,13.3,5812
315,0.2,180,2,180,7.38,12.2,5814
45,0,0,1,180,6.6,13,4386
315,4,45,7,45,6.25,12.8,5941
135,4,135,7,135,7.07,9.4,8329
180,0.2,202.5,3,202.5,7.625,11.8,4330
225,1,225,4,225,5.875,16.1,6128
180,3.2,180,6,180,9.35,9.8,6320
180,0.3,180,3,180,7.1,14.5,6672
0,0.3,180,3,180,7.21,17.4,7918
112.5,1.5,292.5,4,292.5,7.115,12,4627
135,3,45,5,45,8.18,12,4401
0,2.5,180,5,180,5.875,15.4,7156
135,6,135,8,135,9.2,10.7,7050
157.5,0.5,180,3,180,7.75,12.6,5156
180,0.2,180,2,180,7.1,14,6368
135,0.2,270,3,270,7.625,12,4334
0,0,0,1,180,8.55,16.3,8275
157.5,0.5,157.5,4,157.5,6.85,11.2,4600
270,0.6,0,3,0,8.24,14.3,5982
180,4.5,225,7,225,7.95,10.5,6194
0,0.8,180,3,180,8.195,12.8,6067
157.5,1,0,3,0,7.15,15.3,9475
315,6,270,7,270,7.65,12.1,5266
225,3.5,225,6,180,7.95,11.2,6320
270,6,315,4,315,8.24,13.4,6302
135,0.5,135,3,135,9.245,13.6,7245
0,0.5,315,2,315,8.025,15.6,9097
135,0.8,90,2,90,5.85,13.2,3534
180,0.7,0,2,0,8.385,13.9,7582
67.5,0.5,247.5,4,247.5,7.6,12.3,4711
315,2.5,45,6,45,7.55,12.9,6699
157.5,4,135,7,135,8.6,13.2,2692
45,1,0,2,0,7.37,12.1,5688
180,0.8,180,4,45,6.9,13.7,5227
180,1.2,90,4,90,7.475,10.7,4738
180,0.4,180,3,180,7.1,12.1,5272
0,0,0,0,0,7.4,15.3,5373
225,0.5,135,4,135,7.6,11.1,4337
315,0.2,315,2,315,8.195,14.8,6826
0,0.4,0,3,0,6.95,13,5232
135,3.3,225,6,225,6,13.5,5814
157.5,0.7,247.5,6,247.5,7.625,12,4307
45,0,0,1,135,7.1,14.2,5957
67.5,0.5,247.5,4,247.5,6.4,12.8,4299
315,0.5,180,2,180,9.075,15.8,7869
0,1.2,315,3,315,8.05,17.2,7633
0,1,0,3,0,7.945,16.2,7188
180,1,180,4,180,8.115,15.3,9073
0,0,0,1,135,8.08,13.1,6320
0,1.5,315,4,315,6.325,16.4,6627
315,4,90,6,90,6.55,13.7,6573
112.5,0.5,45,3,45,7.45,12.7,4443
90,0.2,0,2,0,6.69,16.9,8362
180,6,45,6,45,7.23,12.2,6735
180,0.5,0,3,0,8.385,14.8,7335
0,0.8,180,2,180,7.02,13,6320
0,0.5,0,4,0,8.425,15.5,6680
180,1.5,90,5,225,8.05,16.3,8323
315,2,90,6,90,6.55,15.5,7837
270,0.1,315,2,315,8.41,16.8,8541
